name;density;spg;volume;SiOSi_average;SiOSi_gmean;SiOSi_hmean;SiOSi_max;SiOSi_mean;SiOSi_min;SiOSi_skew;SiOSi_std;SiOSi_var;SiO_average;SiO_gmean;SiO_hmean;SiO_max;SiO_mean;SiO_min;SiO_skew;SiO_std;SiO_var;ASA;AV;NASA;NAV;VolFrac;largest_free_sphere;largest_included_sphere;largest_included_sphere_free;max_dim;min_dim;mode_dim
9000001;2.299964701;1;14.45997929;144.1975608;143.4565863;142.7449456;171.425185;144.1975608;128.492231;0.601096978;14.87930578;221.3937406;1.603142161;1.603078695;1.603014903;1.619475391;1.603142161;1.577466373;-0.864635989;0.01422812;0.000202439;0;0;0;0.0004174;0;2.46558;3.11145;3.11145;0;0;[0]
9000002;2.807640173;1;11.84533626;144.1500074;143.1602872;142.1884942;177.1277923;144.1500074;118.3156771;0.340825148;17.02333291;289.7938634;1.601009089;1.600950124;1.60089093;1.618477683;1.601009089;1.578358146;-0.677095577;0.01371381;0.000188069;0;0;0;0;0;0.29822;1.79148;1.33345;0;0;[0]
9000003;2.473788747;1;13.44392968;148.40947;147.9028301;147.3886425;165.2364686;148.40947;129.7875498;-0.258778337;12.1533147;147.7030583;1.599471;1.599413597;1.599356114;1.61470935;1.599471;1.58130356;-0.250020468;0.013541182;0.000183364;0;0;0;0;0;0.75253;1.83597;1.83597;0;0;[0]
9000004;1.941963552;1;17.12567773;149.251589;148.6508506;148.059786;173.2116773;149.251589;131.5555737;0.310004549;13.48093385;181.7355776;1.609679385;1.609656932;1.60963448;1.621429087;1.609679385;1.596253643;0.022410754;0.008502286;7.23E-05;0;0;0;0.00369731;0;2.40537;3.48727;3.2314;0;0;[0]
9000005;2.516909606;1;13.21360206;140.4734831;140.182516;139.8944488;162.9731968;140.4734831;121.0885954;0.462871044;9.099919407;82.80853322;1.613877591;1.613828128;1.613778758;1.633996136;1.613877591;1.595668109;0.363826602;0.012647148;0.00015995;0;0;0;0;0;1.69418;2.59076;2.59076;0;0;[0]
9000006;2.214044938;5;15.02112327;142.6330922;142.2463014;141.8654813;163.3534597;142.6330922;122.3536974;0.451000798;10.58971372;112.1420367;1.606817279;1.606722862;1.606628017;1.62609313;1.606817279;1.575613772;-0.624098972;0.017379222;0.000302037;0;0;0;9.94E-05;0;1.88171;2.86846;2.85433;0;0;[0]
9000007;2.721256224;1;12.22135632;145.1461174;143.8898058;142.6705806;176.2160444;145.1461174;118.5032584;0.368389203;19.3139958;373.0304337;1.60751372;1.607481352;1.607448971;1.622021208;1.60751372;1.592096085;-0.092734633;0.01019903;0.00010402;0;0;0;0;0;0.50004;1.60721;1.60721;0;0;[0]
9000008;3.127988269;1;10.63221441;143.0184319;141.7895384;140.5204725;173.5184879;143.0184319;107.0844442;-0.09954786;18.48050235;341.528967;1.673446669;1.672810755;1.672178074;1.76025578;1.673446669;1.602490212;0.309686202;0.046249694;0.002139034;0;0;0;0;0;0.59242;1.72234;1.72234;0;0;[0]
9000009;2.52482398;1;13.17218238;143.3346367;142.5991408;141.8947578;175.1080071;143.3346367;124.6860377;0.720135121;14.81969601;219.6233898;1.613165433;1.613105946;1.613046358;1.630997077;1.613165433;1.58874054;-0.292292207;0.013841753;0.000191594;0;0;0;0;0;0.8738;2.0763;2.0763;0;0;[0]
9000010;2.116099795;5;15.71638635;149.0264462;148.0419688;147.038592;170.8043808;149.0264462;120.6931834;-0.220783441;16.92094579;286.3184066;1.617072634;1.61691318;1.616754429;1.652595847;1.617072634;1.586186162;0.479484571;0.022758428;0.000517946;0;0;0;0.00112472;0;1.6118;3.16153;3.11781;0;0;[0]
