g;k
21.90892086;37.18824108
22.18776547;35.08290516
23.87677787;36.43681781
27.47116151;39.42604019
22.97739216;32.96250818
20.80277395;34.43055893
24.51559592;34.61106634
22.00016083;31.80163486
22.56312119;34.53163935
19.36429966;31.75706485
23.17852307;28.00594653
24.08560352;33.93268622
22.04292344;26.59357347
26.05177154;44.71750172
23.47016815;30.37236358
24.71488803;34.85948467
24.39567617;34.74254971
20.21119087;32.49505222
24.6095586;34.84477493
23.82707161;34.12427349
23.38659234;33.17632632
23.89730723;37.19225288
21.71237572;32.79167281
22.09009046;36.00790199
21.31304232;35.96224207
20.17640141;26.88006223
27.47378195;45.63183344
26.66853007;34.50492839
23.43616058;34.75806307
26.37128763;35.54441502
22.28013835;36.69989357
26.64804137;29.65432162
21.08500039;33.55366944
22.07597083;35.55114767
26.15115359;36.28203847
23.40099847;35.26079534
25.76314964;34.36393075
20.95399796;33.38880802
25.59005501;35.60477097
20.72699778;30.49670842
23.39778278;36.18229715
27.24346374;43.6133512
25.57983888;34.28744405
26.94631476;40.14607632
23.22145089;34.77872007
18.15315097;26.59639497
22.48339454;34.03518762
19.69872407;31.7345549
21.30234021;35.67044698
19.75852632;29.76099682
23.28579159;36.39035728
20.8898495;35.53780833
19.48918126;30.0572244
24.64809944;35.34585537
20.67145107;32.13573922
27.48523403;41.9810352
20.1027837;27.88998226
21.97163171;32.77702591
21.93276959;37.01278612
22.30585729;36.13222258
28.29648589;40.34551602
21.73397035;33.61185122
21.71710478;34.96646539
24.98489225;34.52096599
25.09581533;34.96940179
24.32922796;34.07643628
20.37879694;34.39539063
23.71779265;36.91449825
20.57544219;32.03395884
21.97880378;34.00133499
27.53023393;48.45595127
24.07681437;37.16606454
21.63416424;35.75898663
27.24871867;38.52119638
21.63703006;36.1305316
24.99846699;34.64310201
25.54805622;37.39767021
23.83582444;34.1461246
20.68020992;33.69366464
20.27802015;31.9108966
21.57355285;34.98445642
22.42729439;37.89000344
30.25265826;49.21883828
27.07553406;37.73134277
25.50672297;36.92580211
19.38302856;31.84903086
26.79499767;30.89744572
24.79375447;31.8603631
19.47674228;29.36410907
25.76156524;36.12942671
25.71808322;36.68473236
19.64085881;32.82623818
26.58500764;35.56281855
24.79547983;29.91013574
20.39095716;31.34265065
24.80378256;34.3973819
21.7565954;35.74367785
22.81301849;36.81853239
21.62340112;28.6053237
22.82725639;35.11040629
20.29910025;33.75031313
21.06071156;37.18803463
25.37622563;35.27650267
21.46702056;32.38281908
23.26666673;33.25518982
21.53953659;34.811999
20.64413208;32.08162004
23.77565156;35.59947243
25.05755026;35.50507305
24.35485455;36.18908112
22.74769808;30.95629595
24.24988025;35.46255694
24.73874623;36.86949701
26.25403273;40.01236816
26.07114253;34.45077624
21.30220513;34.73552609
22.47339159;37.7027576
25.00656016;35.21322242
21.03491772;35.76953368
21.9079468;34.87007715
22.58195911;35.45411786
22.06543491;36.21096244
26.77639014;38.25054587
19.00008232;27.37649166
25.58758251;35.52451671
24.31594536;32.76076155
20.53883336;29.7434639
22.03091575;35.3577445
20.9327802;37.36533206
23.73756984;37.98388558
24.90865882;33.89212688
25.91073512;35.86801302
22.34828335;31.90878577
20.40005328;34.49802432
27.28253339;42.00230398
25.69298636;33.68129826
21.52251874;40.28490431
20.58213314;34.26843617
25.33023363;35.99264134
22.18041671;35.91735417
20.95846628;35.39645802
24.58218029;35.8311063
19.48739605;31.99123344
27.70949854;48.99669444
26.13651355;34.99373079
25.23171109;35.29470357
26.34331242;37.07252508
23.83796229;31.13668077
21.5694462;32.16380043
25.14472919;36.7794446
20.92362368;32.89053043
28.31014291;37.58923393
22.67057738;35.3424373
21.6896527;29.19309087
19.6158302;29.18351319
23.59114715;26.42055034
22.41487573;34.78939339
20.76218503;31.54556091
25.10696061;34.69999763
23.93975287;34.84774583
20.16222558;31.35020767
23.77558108;28.6062194
25.05507159;36.13894665
23.48723697;30.55953236
22.33844072;32.60889979
21.53093545;37.00331896
20.49292919;35.89150885
19.35991597;32.50576936
19.60476664;30.11618512
21.44406145;36.15881277
21.48409978;36.14487728
23.32621739;34.7785935
26.84440362;39.99676996
25.8156822;38.29657415
22.60274212;33.73534058
19.3101452;27.50911725
22.27920497;33.76180017
23.29907839;35.07886654
25.24734024;39.18320938
19.71332203;30.78850344
20.66389627;34.15598105
24.48768388;34.36112118
21.75574842;33.53747382
24.84273547;35.49355189
20.87363114;32.12270647
27.00827196;36.49585901
25.99001281;29.51167361
21.37509557;38.27717178
32.2013798;58.29705432
21.81902225;36.58141419
27.47718724;36.0245896
22.99429902;34.43539337
26.48296716;34.87980642
25.79823206;35.55715544
25.44208837;32.5662841
20.19863705;35.49256943
22.79501408;30.07891952
18.65214839;24.05239776
23.99993347;32.47111422
22.61387247;34.20065444
23.18136448;34.15562998
22.46179224;35.44607091
23.59722482;34.76465223
21.37005171;35.4053418
18.69689481;27.09989843
26.30552799;37.1507743
23.13388142;38.92284301
21.30398275;31.93942424
22.48264549;33.76849345
22.4894633;35.12443267
25.29071906;34.54000217
24.58813936;34.96237115
26.66930991;40.4638735
24.80005923;37.4112148
22.12120519;33.06605014
21.68797028;33.83808024
21.89451771;35.50439814
24.8968;34.96570975
21.6207499;31.25595222
26.41900647;37.5983484
19.69601681;29.64058365
20.36971143;28.59572338
26.15316678;35.88073164
23.95367534;34.51054299
21.63377653;34.11344398
27.91852204;42.18901821
26.41630971;35.49602131
26.03701411;37.96578415
20.3711287;33.18449427
21.51956484;34.21567179
22.83314943;32.76753191
20.4661099;34.16280764
24.33384363;35.00817122
18.8225686;28.67773708
21.59418983;34.34848331
26.20732293;39.66233883
22.94058589;35.429768
26.44199723;40.15611155
24.77384039;35.17114871
24.42161812;35.0175095
20.20706611;33.63717778
24.74671742;36.40488114
25.38372459;36.43254485
22.56559668;27.95902955
25.19278645;35.19202511
26.30917843;34.87829064
21.1286846;32.08895764
26.67550767;35.37228422
24.61652884;35.90561767
20.42657752;33.8271498
28.02301452;41.32139426
21.32894978;34.69962357
19.58563726;30.97986676
22.40362022;32.8731648
24.44748891;34.72079485
26.99717112;43.65503621
24.45415978;34.70718491
23.01028435;30.66526601
22.80689333;36.05174165
26.21119692;36.98312405
24.00915302;32.78585364
26.88679875;35.19334604
25.98529693;34.51993063
25.08255374;35.60758851
22.65467939;34.76479387
19.86135928;33.0923903
20.86553855;29.95648122
19.32736364;23.06985555
23.18584589;27.4828904
25.5000476;34.93336085
23.32576274;32.4050275
23.41153158;31.27849498
34.74256223;60.17391989
22.82329443;37.0878833
25.47832338;35.88749176
20.85894498;34.99116176
24.21056631;34.88637149
26.64838404;33.67025242
27.0201026;34.8401675
26.60978538;36.51905365
25.97575618;36.45676766
21.81100468;32.29245424
27.41072218;36.68967784
26.3648534;32.51397759
21.1401593;36.06552673
19.55503703;34.08376327
26.03842764;35.8922631
25.36096147;38.20640192
21.60836542;34.38088198
26.36100246;35.75520249
21.67861802;30.85817779
25.68793757;34.8676562
25.67625282;36.33198453
26.96077347;35.92684238
21.32457181;32.67719443
25.17529742;33.24562124
23.88979964;34.45730981
19.94867644;32.30728801
22.06324365;31.42935593
22.94503338;33.82805666
21.58236861;33.18670578
22.5657105;33.31740117
26.7714766;36.33688329
25.86918601;36.81228653
23.51053293;36.00977346
24.0447269;35.5989979
24.36384266;34.80472292
20.11483107;30.19537222
26.32396815;36.22678959
25.28003757;36.42724095
26.69011212;37.91452415
23.90109206;35.16274866
35.03401014;58.5342999
28.31385747;46.50423949
25.44971323;35.86606365
21.1281262;33.70945741
22.05317652;30.84732699
19.39278109;30.85659693
22.59380656;35.81076762
24.97506603;35.08650153
23.97183159;30.50952945
24.52298277;34.41887409
27.2858201;35.37005488
24.07698902;30.63695001
24.30086556;40.68940268
27.09762654;39.25127222
21.17354086;34.41789148
21.57032585;35.31973295
22.98918385;33.96071497
20.91237641;31.47760916
27.15400011;36.76954599
20.26031322;33.34005402
22.92510706;35.96595867
22.85780685;35.78559704
24.53494574;36.02661258
22.04015899;37.64561203
27.07910967;38.38083582
21.94952808;35.2065972
24.87197722;31.10960475
21.77587032;32.96605041
20.83792103;36.66206155
24.2131586;35.0478046
20.05429956;32.59802588
27.36500063;40.26412996
26.64714556;37.65173577
20.17570086;28.88853866
25.23433164;40.7066758
22.86159252;31.82335138
21.32324572;34.72627179
19.84879166;32.28263216
20.15465202;33.90660613
24.48519994;34.310801
20.82536342;35.15573929
24.82907166;34.17768324
21.22486215;35.40562567
21.39062011;36.92189593
21.38787813;35.7186252
22.30042054;35.00069463
20.03606053;32.06996638
31.19625288;52.90127054
21.31915623;34.83206338
26.37880092;36.34843414
27.45997069;37.78897422
18.96741336;26.76874857
21.91242602;36.11368602
26.94589297;44.06403735
26.32069624;35.85125006
21.05755535;35.53063625
20.66951259;32.91243348
25.28081141;35.02302236
20.45577655;31.63325161
21.03265344;33.87794022
24.13185949;33.79361972
23.19543426;35.50274001
19.56131156;31.46684593
22.51936779;35.61871785
25.75783028;34.907082
24.21939703;36.33654639
27.57461721;38.27387318
24.10497306;30.69149609
20.34324019;31.28875836
21.93610853;35.32228428
23.7905298;36.48671723
25.49798208;36.43886867
19.9556254;31.01288683
24.68543565;33.3242293
26.88375331;35.7027204
26.27381595;35.95828767
22.40045752;36.49691181
24.71929997;32.46296421
25.60629664;35.43377167
24.82350986;31.3607114
22.29502446;28.56730951
22.48883561;34.90357658
28.43317199;43.72832255
21.34073918;33.01155837
21.41990379;33.81534202
26.78436565;37.35990598
22.09372546;33.96951983
25.02001475;30.41852875
26.46349656;41.32637494
24.26387701;33.83006084
20.93166795;32.41819811
23.79396593;40.08793121
20.79005375;31.18015065
19.14305651;23.92011677
20.05793609;34.57657558
25.33542363;35.89719681
21.77580097;35.45323918
30.33132411;56.08975589
26.44994812;37.1638061
23.4153249;30.44848484
24.2885594;34.47139522
25.43972838;36.53889188
26.62141588;36.82795742
25.60106191;31.50733508
25.63484514;32.87304373
24.86029443;36.25943609
19.46827118;31.83191818
26.07120079;36.53052358
22.1684426;35.79879749
24.21776466;33.60167804
25.01818535;34.48951979
22.94741979;35.1275106
21.42893471;33.49919769
22.53763638;34.06091352
21.79042818;34.67379303
25.49459997;33.9974216
24.63448611;35.56859112
20.92628201;29.13581413
26.65182491;38.24820483
24.11033552;33.65268676
23.56930415;34.30798159
26.32935208;36.84666419
22.1566659;35.32303619
25.28971035;34.72317132
20.13047953;32.6633862
20.78838895;34.05773671
25.42259424;35.56618076
22.99556785;38.23705423
21.3655087;26.94091186
24.12249126;34.22959148
20.90041202;36.37233236
19.33626756;31.73599013
19.72267572;30.1270285
24.63726122;34.84246362
24.82621438;35.11944409
25.68070016;35.78381633
18.92229758;31.28790652
22.31954318;35.77631543
20.23202095;31.62881905
20.60029735;29.62905275
27.0096895;35.72319701
25.65567869;36.87726036
21.44524043;36.30609457
18.93498031;30.9728673
20.87529026;30.88288252
24.25295448;46.79301055
18.35113936;30.26607528
24.73549757;31.64347797
20.77585943;34.79735651
26.09757688;34.67481037
24.30071862;33.78004371
23.17098869;34.26681195
22.3015225;31.84898612
21.03737717;31.73803905
19.80632089;32.72987176
26.33149689;35.49879733
23.8943938;34.41364373
30.63111577;51.49074418
21.28647115;35.62457119
19.98555887;32.20827767
22.20856161;28.3373377
26.59243624;36.61132869
21.76110802;32.4257988
23.72518874;32.43249454
20.16857733;33.18491609
25.11301753;36.96305145
19.42600267;30.54052476
17.71052905;25.54983364
21.65520529;34.66754444
26.00603508;35.57002129
25.09465054;36.42369
17.56537882;23.6110168
23.41781047;34.81214486
23.3984649;35.87639239
19.4971335;29.26431743
19.6968281;32.81304021
25.73723978;32.71837594
17.70282849;24.61000896
20.91240661;31.82829343
25.17987828;35.63011575
20.10930946;26.30105985
23.6479157;37.12657947
21.46128802;35.17414211
26.97689199;37.42403411
25.00348582;34.61167633
25.49600954;34.78156434
26.91438548;35.68607055
24.61196832;34.83499147
25.05684073;34.12786587
21.09232164;32.90497033
21.06388072;28.68357791
22.91095126;34.42950943
20.58514207;30.4528958
21.64952395;34.75369851
22.17443366;32.13141814
25.42213893;35.31978395
20.27721122;32.90507266
25.85278478;34.40572855
24.21748604;35.43943593
25.81945453;35.74420847
21.01415677;35.14871206
25.07330399;35.13112078
18.84295908;32.48427599
19.40898288;31.44589389
25.62934435;38.85291987
20.71158299;33.39912987
26.37009063;37.16277506
21.31334026;33.63951991
26.71905262;36.70032651
25.45407424;34.27510402
27.97330416;45.31414175
27.06171764;35.8660108
18.18797279;31.06648993
19.20070308;35.59033112
24.57299513;34.98149667
21.85830843;35.7405476
20.93942281;33.29072448
20.99768572;32.89032704
21.93232626;36.00340093
23.25025183;29.06885333
21.28324314;34.87634221
20.87971056;33.214457
24.66224329;34.79728878
22.55873648;36.78513553
30.63580014;58.26008955
27.37022982;35.81346222
25.37666979;35.75524841
33.55149292;54.5481569
28.48375307;50.68104328
25.1191903;36.36934668
24.25990584;35.6231077
26.10934929;39.12715506
25.60647726;38.39160499
25.84402467;37.44759279
21.5553776;34.07454234
22.08228664;35.31916579
24.77949426;36.02799587
25.66139626;42.81706335
24.26215135;34.34044035
24.94378943;48.38004867
27.70760169;37.97991161
25.58929341;34.0047807
26.49744863;36.25493519
28.43925056;44.67288331
22.43924039;35.30663766
27.12323988;42.10509335
21.75011083;32.66421878
26.32557012;40.11342112
23.93810737;34.77254395
23.8455777;29.43914459
21.7620964;33.73324225
34.26483387;61.06021563
34.06816537;61.32508605
23.96268283;35.56928456
23.66479154;35.96977234
25.93623379;36.43318553
20.76172395;33.52172248
24.61243021;32.59860264
30.87354066;51.3407453
24.69911196;35.57928056
22.6441724;31.97287368
25.5893369;35.9708706
22.02492164;34.17071478
23.4729365;29.94109454
26.59435979;38.32253544
24.71867698;36.58278697
23.12920139;34.50607474
20.61754763;31.88871373
23.80375566;35.12605245
26.30812548;36.82276851
27.02805945;34.46244073
27.13429188;37.58858996
27.4509433;38.75563326
28.52270109;43.22099994
19.89975466;32.9387682
27.88490471;42.42958516
27.2126375;42.03897087
26.01221883;35.39881904
26.44216505;37.31221005
25.53136982;32.10817551
21.38733161;36.50964848
26.8142433;35.82991297
25.18326738;36.4072468
25.51854194;32.72390812
28.44498208;41.94565545
27.19961677;36.16685014
21.71607534;34.73835189
21.74428345;36.63448756
22.72576938;34.69031852
21.79401742;34.68390559
26.50423377;34.56372959
25.44883342;33.68353722
26.17421626;36.93709563
28.17041149;42.66090292
29.85750429;53.48617362
24.50622489;33.94844684
24.06121652;36.11279175
25.34658421;35.7744534
20.40819048;32.04012505
20.92643128;33.60703219
21.73081757;31.87979499
26.45396351;34.85333178
24.05750617;39.46073945
30.00734522;42.69441908
28.62499256;46.20330237
20.90112931;30.73672166
25.98320122;34.99672862
23.55580672;42.92092315
27.73489586;39.36364947
21.87616561;31.48214532
19.8588959;33.79862521
21.01786335;34.43070697
32.32925225;56.14910872
24.80877376;35.79289932
26.60545563;35.77443829
27.41356122;35.13315944
27.12354845;37.25506458
28.3921397;47.8454175
27.21946408;43.88279087
23.21698701;34.93854975
24.51519194;36.06203078
27.30681234;37.22506344
22.85490729;34.41890302
26.23306399;44.24595403
25.42357096;34.80140495
27.61670359;43.55855269
21.90431692;33.66095701
24.90749365;40.0047113
25.56338952;35.71710465
24.2823359;30.47048303
30.37840766;67.08409732
27.40719983;40.96525239
21.1092226;35.58057375
19.18045274;23.44671785
